,gen_loss
0,55.53916931152344
1,43.75000762939453
2,49.0408935546875
3,42.97861862182617
4,36.61003112792969
5,46.3416633605957
6,55.29792785644531
7,36.876075744628906
8,41.69779586791992
9,51.55345153808594
10,54.64140319824219
11,91.43671417236328
12,80.4796142578125
13,77.10138702392578
14,82.40161895751953
15,76.65957641601562
16,87.31855010986328
17,81.79753112792969
18,76.09344482421875
19,73.9019775390625
20,75.64688110351562
21,79.1605224609375
22,81.34794616699219
23,79.2615966796875
24,81.83770751953125
25,79.87762451171875
26,83.51255798339844
27,75.15341186523438
28,80.37821197509766
29,83.95950317382812
30,84.44296264648438
31,79.3897476196289
32,79.55290985107422
33,74.81877136230469
34,78.94103240966797
35,77.19293212890625
36,72.35678100585938
37,82.12686920166016
38,78.87669372558594
39,72.7663803100586
40,78.0034408569336
41,75.9020767211914
42,71.09263610839844
43,79.03123474121094
44,75.47420501708984
45,73.48562622070312
46,78.21519470214844
47,80.08100891113281
48,75.44562530517578
49,72.84991455078125
50,80.66974639892578
51,66.45663452148438
52,69.21294403076172
53,71.09492492675781
54,80.51728820800781
55,75.74678039550781
56,67.3998031616211
57,79.56413269042969
58,70.00576782226562
59,65.69908142089844
60,68.72125244140625
61,69.70297241210938
62,73.91395568847656
63,81.08869171142578
64,56.117156982421875
65,68.29965209960938
66,100.0
67,100.0
68,100.0
69,100.0
70,100.0
71,100.0
72,100.0
73,97.65257263183594
74,100.0
75,99.27340698242188
76,96.14939880371094
77,96.68913269042969
78,100.0
79,99.28449249267578
80,100.0
81,100.0
82,100.0
83,100.0
84,100.0
85,97.31086730957031
86,100.0
87,100.0
88,100.0
89,100.0
90,99.2531509399414
91,100.0
92,100.0
93,100.0
94,100.0
95,100.0
96,100.0
97,100.0
98,100.0
99,100.0
100,100.0
101,100.0
102,99.10713958740234
103,100.0
104,100.0
105,95.71570587158203
106,92.302978515625
107,92.14222717285156
108,90.84170532226562
109,92.39759826660156
110,91.28048706054688
111,92.50958251953125
112,90.68942260742188
113,92.240478515625
114,96.36699676513672
115,90.9140625
116,90.84696960449219
117,91.0635986328125
118,91.53970336914062
119,89.49214172363281
